"Role ID","Role Name","RSoundex"
282,"Dardanius","D635"
283,"Dauphin","D150"
284,"David","D130"
285,"David Bliss","D131"
286,"David Lane","D134"
287,"Decius","D220"
288,"Deiphobus","D112"
289,"Demetrius","D536"
290,"Dennis","D520"
291,"Deputy","D130"
292,"Desdemona","D235"
293,"Detective","D323"
294,"Devil","D140"
295,"Dexter","D236"
296,"Diana","D500"
297,"Dinner Guest","D562"
298,"Diomedes","D532"
299,"Dion","D500"
300,"Dionyza","D520"
301,"Doalty","D430"
302,"Doc Porter","D216"
303,"Doctor","D236"
304,"Dogberry","D216"
305,"Dolph","D410"
306,"Don Adriano de Armado","D536"
307,"Don Adriano de Armado","D536"
308,"Don John","D525"
309,"Don Juan","D525"
310,"Don Pedro","D513"
311,"Donalbain","D541"
312,"Donna Matilde Spina","D553"
313,"Dorothy","D630"
314,"Dorset","D623"
315,"Douglas","D242"
316,"Dr. Bull","D614"
317,"Dr. Caius","D622"
318,"Dr. Knight","D625"
319,"Dr. Prentice","D616"
320,"Dr. Rance","D665"
321,"Dracula","D624"
322,"Drake's Banner","D622"
323,"Dromio","D650"
324,"Dromio of Ephesus","D651"
326,"Dromio of Syracuse","D651"
327,"Drugger","D626"
328,"Drummer","D656"
329,"Drunk","D652"
330,"Duchess of Ephesus","D221"
331,"Duchess of Malfi","D221"
332,"Duchess of York","D221"
333,"Dudley","D340"
334,"Duke","D200"
335,"Duke Frederick","D216"
336,"Duke of Aumerle","D215"
337,"Duke of Austria","D212"
338,"Duke of Bedford","D211"
339,"Duke of Berri","D211"
340,"Duke of Burgundy","D211"
341,"Duke of Cornwall","D212"
342,"Thomas Duke of Exeter","T523"
343,"Duke of Florence","D211"
344,"Duke of Gloucester","D212"
345,"Duke of Gloucester","D212"
346,"Duke of Kent","D212"
347,"Duke of Milan","D215"
348,"Duke of Norfolk","D215"
349,"Duke of Orleans","D216"
350,"Duke of Somerset","D212"
351,"Duke of Suffolk","D212"
352,"Duke of Surrey","D212"
353,"Duke of Venice","D211"
354,"Duke of York","D216"
355,"Duke Senior","D225"
356,"Dumain Brother","D551"
357,"Dumaine","D550"
358,"Dumaine #2","D550"
359,"Duncan","D525"
360,"Dunlap","D541"
361,"E.K. Hornbeck","E265"
362,"Earl of Cambridge","E641"
363,"Earl of Douglas","E641"
364,"Earl of Essex","E641"
365,"Earl of Gloucester","E641"
366,"Earl of Kent","E641"
367,"Earl of Lincoln","E641"
368,"Earl of Norfolk","E641"
369,"Earl of Northumberland","E641"
370,"Earl of Oxford","E641"
371,"Earl of Pembroke","E641"
372,"Earl of Salisbury","E641"
373,"Earl of Suffolk","E641"
374,"Earl of Surrey","E641"
375,"Earl of Warwick","E641"
376,"Earl of Westmoreland","E641"
377,"Earl Rivers","E646"
378,"Earl Washington","E642"
379,"Earle of Kent","E641"
380,"Ed Deveny","E331"
381,"Ed Mosher","E352"
382,"Edgar","E326"
383,"Edith","E330"
384,"Edmund","E355"
385,"Edmund Mortimer","E355"
386,"Edward","E363"
387,"Edward IV","E363"
388,"Edward Sterne","E363"
389,"Egeus","E220"
390,"Eilif","E410"
391,"Ela Delahay","E434"
392,"Elijah","E420"
393,"Elizabeth","E421"
394,"Elizabeth Caulder","E421"
395,"Elizabeth Proctor","E421"
396,"Ella","E400"
397,"Elmire","E456"
398,"Elsie","E420"
399,"Emelia","E540"
400,"Emerson","E562"
401,"Emilia","E540"
402,"English Boy","E524"
403,"English Captain","E524"
404,"English Colors","E524"
405,"English Guard","E524"
406,"English Herald","E524"
407,"English Lord","E524"
408,"English Monk","E524"
409,"English Page","E524"
410,"English Priest","E524"
411,"English Soldier","E524"
412,"English Trumpeter","E524"
413,"Enobarbus","E516"
414,"Envy","E510"
415,"Ephraim Smooth","E165"
416,"Ermenguard","E655"
417,"Eros","E620"
418,"Escalus","E224"
419,"Essex","E220"
420,"Essie","E200"
421,"Estate Worker","E233"
422,"Estate Worker (Summer)","E233"
423,"Estate Worker (Winter)","E233"
424,"Exeter","E236"
425,"Explorer","E214"
426,"Ezekiel Cheever","E224"
427,"Fabian","F150"
428,"Fag","F200"
429,"Fairfield","F614"
430,"Fairy","F600"
431,"Falstaff","F423"
432,"Fanny","F500"
433,"Farmer","F656"
434,"Farmer Gammon","F656"
435,"Farrell","F640"
436,"Fatal Gazoonie","F342"
437,"Father","F360"
438,"Father who killed son","F362"
439,"Feargus O'Connor","F622"
440,"Fenton","F535"
441,"Ferdinand","F635"
442,"Feste","F230"
443,"Fifth Player","F131"
444,"Fino ""Ethelbald""","F534"
445,"First Citizen","F623"
446,"First Drawer","F623"
447,"First Executioner","F623"
448,"First Fairy","F623"
449,"First Fisherman","F623"
450,"First Gentleman","F623"
451,"First Grave-Digger","F623"
452,"First Gravedigger","F623"
453,"First Guard to the Prince","F623"
454,"First Lord","F623"
455,"First Murderer","F623"
456,"First Myrmidon","F623"
457,"First Officer","F623"
458,"First Pastor","F623"
459,"First Roman Citizen","F623"
460,"First Soldier","F623"
461,"First Watchman","F623"
462,"First Wich","F623"
463,"First Witch","F623"
464,"Fisherman","F265"
465,"Flaminius","F455"
466,"Flattulo","F434"
467,"Flavio Ando","F415"
468,"Flavius","F412"
469,"Fleance","F452"
470,"Florio","F460"
471,"Fluellen","F445"
472,"Flute","F430"
473,"Fool","F400"
474,"Foppington","F152"
475,"Ford","F630"
476,"Forest Lord","F623"
477,"Forester","F623"
478,"Foretop","F631"
479,"Fortinbras","F635"
480,"Fourth Myridon","F635"
481,"Francis Chesney","F652"
482,"Francis Flute","F652"
483,"Francisco","F652"
484,"Frank","F652"
485,"Frank Lubey","F652"
486,"Frederic","F636"
487,"French Color","F652"
488,"French Drum","F652"
489,"French Herald","F652"
490,"French Legate","F652"
491,"French Lord","F652"
492,"French Messenger","F652"
493,"French Page","F652"
494,"French Servant","F652"
495,"French Soldier","F652"
496,"French Trumpeter","F652"
497,"Friar","F660"
498,"Friar Francis","F661"
499,"Friar John","F662"
500,"Friar Lawrence","F664"
501,"Friar Lawrence","F664"
502,"Froth","F630"
503,"Gadshill","G324"
504,"Gamekeeper","G521"
505,"Gaoler","G460"
506,"Gentleman","G534"
507,"Gentleman of Mytilene","G534"
508,"Gentleman of Vienna","G534"
509,"Gentlewoman","G534"
510,"George","G620"
511,"George Deever","G623"
512,"George Hastings","G622"
513,"Gerald","G643"
514,"Gertrude","G636"
515,"Ghost of Henry VI","G231"
516,"Giles","G420"
517,"Giles Corey","G422"
518,"Giovanni","G150"
519,"Glendower","G453"
520,"Glendower's  Seeress","G453"
521,"Glendower's Doctor","G453"
522,"Gloucester","G422"
523,"Gloucester Servant","G422"
524,"Gnome","G550"
525,"Gonzalo","G524"
526,"Goodfellow","G314"
527,"Gordon","G635"
528,"Gorilla","G640"
529,"Goth","G300"
530,"Governor of Bordeaux","G165"
531,"Governor of Harfleur","G165"
532,"Governor of Harfluer","G165"
533,"Gower","G600"
534,"Gramps","G651"
535,"Grandpa","G653"
536,"Gratiano","G635"
537,"Gravedigger","G613"
538,"Greek Soldier","G622"
539,"Green","G650"
540,"Gregers Werle","G626"
541,"Gregory","G626"
542,"Gremio","G650"
543,"Grey","G600"
544,"Grimaldi","G654"
545,"Grisolan","G624"
546,"Groom","G650"
547,"Grumio","G650"
548,"Guard","G630"
549,"Guard One","G635"
550,"Guest","G230"
551,"Guiderius","G362"
552,"Guildenstern","G435"
553,"Gurney","G650"
554,"Haakon Werle","H256"
555,"Halberd","H416"
556,"Hallie","H400"
557,"Hamlet","H543"
558,"Hammon","H550"
559,"Hangman","H525"
560,"Happy","H100"
561,"Harris","H620"
562,"Harry Hope","H610"
563,"Harry Percy","H616"
564,"Harry Thunder","H635"
565,"Hastings","H235"
566,"Headsman","H325"
567,"Hedvig","H312"
568,"Helen","H450"
569,"Helena","H450"
570,"Helene","H450"
571,"Helenus","H452"
572,"Helicanus","H425"
573,"Henry Bolingbroke","H561"
574,"Henry Drummond","H563"
575,"Henry IV","H561"
576,"Henry Percy","H561"
577,"Henry V","H561"
578,"Henry VIII","H561"
579,"Herald","H643"
580,"Herald Cinque","H643"
581,"Herb","H610"
582,"Herbert","H616"
583,"Herdsman","H632"
584,"Hermia","H650"
585,"Hermione","H655"
586,"Hickey","H220"
587,"Hippolita","H143"
588,"Hippolito","H143"
589,"Hippolyta","H143"
590,"Holofernes","H416"
591,"Hooded Man","H335"
592,"Horatio","H630"
593,"Horner","H656"
594,"Hortensio","H635"
595,"Hortensius","H635"
596,"Host","H230"
597,"Host of the Garter Inn","H231"
598,"Hostess","H232"
599,"Hotspur","H321"
600,"Hoyden","H350"
601,"Hubert","H163"
602,"Hubert de Burgh","H163"
603,"Hugh Evans","H215"
604,"Humpage","H512"
605,"Huntsman","H532"
606,"Iachimo","I250"
607,"Iago","I200"
610,"Ian Lewellen","I544"
611,"Ilya Telegin","I434"
612,"Immigration Officer","I526"
613,"Imogene","I525"
614,"Indian Boy","I535"
615,"Indian Dancer","I535"
616,"Interpreter","I536"
617,"Iran","I650"
618,"Iras","I620"
619,"Iris","I620"
620,"Irregular","I624"
621,"Isabel","I214"
622,"Isbel","I214"
623,"Isidore","I236"
624,"Islander","I245"
625,"J. Carlyle Benson","J264"
626,"J. J. Peachum","J212"
627,"Jack Cade","J222"
628,"Jacques","J222"
629,"Jailor","J460"
630,"Jake","J200"
631,"James Gurney","J522"
632,"James Tyrone","J523"
633,"Janek","J520"
634,"Janice","J520"
635,"Jaquenetta","J253"
636,"Jaques","J220"
637,"Jarvis","J612"
638,"Jean","J500"
639,"Jenny","J500"
640,"Jeremy","J650"
641,"Jessica","J220"
642,"Jester","J236"
643,"Jeweler","J460"
644,"Jewish Merchant","J256"
645,"Jimmy Jack","J522"
646,"Joan","J500"
647,"Joan La Pucelle","J541"
648,"Joe","J000"
649,"Joe Keller","J246"
650,"Joe Scanlon","J225"
651,"Joe Taylor","J346"
652,"John","J500"
653,"John Burgoyne","J516"
654,"John Dory","J536"
655,"John Falstaff","J514"
656,"John Talbot","J534"
657,"Jonas","J520"
658,"Joxer Daly","J263"
659,"Judge","J320"
660,"Julia","J400"
661,"Julian","J450"
662,"Juliet","J430"
663,"Julius Caesar","J422"
664,"Junius Brutus","J521"
665,"Juno Boyle","J514"
666,"Jupiter","J136"
667,"Jury Man","J655"
668,"Justice","J232"
669,"Justice Robert Shallow","J232"
670,"Justice Shallow","J232"
671,"Kastral","K236"
672,"Katharina","K365"
673,"Katharine","K365"
674,"Keeper","K160"
675,"King Apis","K521"
676,"King Edward IV","K523"
677,"King Henry","K525"
678,"King Henry IV","K525"
679,"King John","K522"
680,"King Lear","K524"
681,"King of France","K521"
682,"King of Navarre","K521"
683,"King's Banner","K522"
684,"King's Guard","K522"
685,"Kings Banner","K522"
686,"Kitty","K300"
687,"Knight","K523"
688,"Krupp","K610"
689,"Kulygin","K425"
690,"Kurt","K630"
691,"Lady","L300"
692,"Lady Capulet","L321"
693,"Lady Cumin","L325"
694,"Lady in Waiting","L353"
695,"Lady Macbeth","L352"
696,"Lady Macduff","L352"
697,"Lady Montague","L355"
698,"Lady Mortimer","L356"
699,"Lady of Boar's Head Inn","L311"
700,"Lady of the Court","L313"
701,"Lady of the Fairy Court","L313"
702,"Lady of the Tavern","L313"
703,"Lady Percy","L316"
704,"Lady Politic","L314"
705,"Lady to Bona","L331"
706,"Laertes","L632"
707,"Lafew","L100"
708,"Lamp","L510"
709,"Launcelot Gobbo","L524"
710,"Landlord","L534"
711,"Laredo","L630"
712,"Larry","L600"
713,"Lassiter","L236"
714,"Launce","L520"
715,"Launcelot Gobbo","L524"
716,"Launcelott Gobbo","L524"
717,"Lavinia","L150"
718,"Lawyer","L600"
719,"Le Beau","L100"
720,"Lear Attendant","L635"
721,"Lear's Knight","L622"
722,"Lefer","L160"
723,"Legate","L230"
724,"Lena","L500"
725,"Lennox","L520"
726,"Leonard","L563"
727,"Leonato","L530"
728,"Leontes","L532"
729,"Leontes' Servant","L532"
730,"Lepidus","L132"
731,"Leslie","L240"
732,"Lewis the Dauphin","L233"
733,"Lieutenant","L355"
734,"Ligniere","L256"
735,"Lil Precious","L416"
736,"Liveried Servant","L163"
737,"Lodge Brother","L321"
738,"Lodovico","L312"
739,"Longaville","L521"
740,"Lord","L630"
741,"Lord Bardolph","L631"
742,"Lord Bigot","L631"
743,"Lord Chamberlain","L632"
744,"Lord Chief Justice","L632"
745,"Lord Fitzwater","L631"
746,"Lord Grey","L632"
747,"Lord Hastings","L632"
748,"Lord Heinous","L635"
749,"Lord Marshal","L635"
750,"Lord Mayor","L635"
751,"Lord Mowbray","L635"
752,"Lord Scroop","L632"
753,"Lord Stafford","L632"
754,"Lord Stanley","L632"
755,"Lord Thomas Bardolph","L633"
756,"Lord Willoughby","L634"
757,"Lorenzo","L652"
758,"Louison","L250"
759,"Lovell","L140"
760,"Lucentio","L253"
761,"Lucetta","L230"
762,"Luciana","L250"
763,"Lucilius","L242"
764,"Lucio","L200"
765,"Lucius","L220"
766,"Lucky","L220"
767,"Lucy","L200"
768,"Lucy Lockit","L242"
769,"Lusiana","L250"
770,"Lussurioso","L262"
771,"Lydia Languish","L345"
772,"Lymoges","L522"
773,"Lysander","L253"
774,"M. Aemilius Lepidus","M542"
775,"M. Loyal","M440"
776,"Mac","M200"
777,"Macbeth","M213"
778,"Macbeth Attendant","M213"
779,"Macduff","M231"
780,"Macmorris","M256"
781,"Mads Moen","M325"
782,"Magnifico","M251"
783,"Magnifico of Venice","M251"
784,"Maid","M300"
785,"Major Thompson","M263"
786,"Majordomo","M263"
787,"Malachi Stack","M422"
788,"Malcolm","M424"
789,"Malvolio","M414"
790,"Mamnen","M555"
791,"Manus","M520"
792,"Marcellus","M624"
793,"Marchioness of Dorset","M625"
794,"Marcus Andronicus","M622"
795,"Marcus Antonio","M622"
796,"Marcus Antonius","M622"
797,"Marcus Brutus","M622"
798,"Mardian","M635"
799,"Margarelon","M626"
800,"Margaret","M626"
801,"Margaret Brennan","M626"
802,"Margaret Lord","M626"
803,"Margery","M626"
804,"Margie","M620"
805,"Maria","M600"
806,"Marianna","M650"
807,"Marie","M600"
808,"Marina","M650"
809,"Mariner","M656"
810,"Marius","M620"
811,"Marjoram","M626"
812,"Mark Antony","M625"
813,"Marquis of Montague","M622"
814,"Martin Kidd","M635"
815,"Martius","M632"
816,"Mary","M600"
817,"Mary Hallen","M645"
818,"Masker","M226"
819,"Masquer","M226"
820,"Master Ford","M236"
821,"Master Gunner of Orleans","M236"
822,"Master Gunner's Boy","M236"
823,"Master Hugh","M236"
824,"Master of Revels","M236"
825,"Master Page","M236"
826,"Mat Muggins","M352"
827,"Matt of the Mint","M313"
828,"Matthew Brady","M316"
829,"Max Harkaway","M262"
830,"Mayor","M600"
831,"Mayor of London","M614"
832,"McCann","M250"
833,"McCarthy","M263"
834,"Meeker","M260"
835,"Megs","M220"
836,"Melinda","M453"
837,"Menas","M520"
838,"Menecrates","M526"
839,"Menelaus","M542"
840,"Menteith","M533"
841,"Mentieth","M533"
842,"Mephistophilis","M123"
843,"Mercenary","M625"
844,"Merchant","M625"
845,"Mercutio","M623"
846,"Mercy Lewis","M624"
847,"Messenger","M252"
848,"Metellus Cimber","M342"
849,"Mexican Woman","M225"
850,"Mike","M200"
851,"Mike Connor","M225"
852,"Military Policeman","M436"
853,"Mime","M500"
854,"Minnie Fay","M510"
855,"Miranda","M653"
856,"Miss Flora Van Huesen","M214"
857,"Miss Florence Becker","M214"
858,"Miss Forsythe","M216"
859,"Miss Ramsden","M265"
860,"Mister Smith","M236"
861,"Mistress Ford","M236"
862,"Mistress Overdone","M236"
863,"Mistress Page","M236"
864,"Mistress Quickly","M236"
865,"Mobilizer","M142"
866,"Molly Brazen","M416"
867,"Momo ""Ordulf""","M563"
868,"Monk","M520"
869,"Monks","M522"
870,"Montague","M532"
871,"Montague Page","M532"
872,"Montague Servant","M532"
873,"Montano","M535"
874,"Montjoy","M532"
875,"Mopsa","M120"
876,"Morocco","M620"
877,"Morocco Attendant","M623"
878,"Mortimer","M635"
879,"Morton","M635"
880,"Moth","M300"
881,"Mother","M360"
882,"Movie Voice-Over","M112"
883,"Mr. Ablett","M614"
884,"Mr. Addams","M635"
885,"Mr. Amos N. Robbilet","M652"
886,"Mr. Brownstein","M616"
887,"Mr. Hunston","M652"
888,"Mr. Mortimer","M656"
889,"Mr. Thompson","M635"
890,"Mrs. Brady","M621"
891,"Mrs. Malaprop","M625"
892,"Mrs. Manning","M625"
893,"Mrs. Page","M621"
894,"Mrs. Slammekin","M622"
895,"Mrs. Titus Dudgeon","M623"
896,"Mrs. Vixen","M621"
897,"Mrs. West","M622"
898,"Murderer","M636"
899,"Murellus","M642"
900,"Musician","M225"
901,"Mustardseed","M236"
902,"Myrimidons","M653"
903,"Myrmidon","M653"
905,"Nat","N300"
906,"Nathaniel","N354"
907,"Ned Poins","N315"
908,"Needle Nugent","N345"
909,"Neighbor","N216"
910,"Nerissa","N620"
911,"Nestor","N236"
912,"Newsboy","N210"
913,"Nicanor","N256"
914,"Nicholas","N242"
915,"Nicholas Vaux","N242"
916,"Nicia","N200"
917,"Nick","N220"
918,"Nimming Ned","N552"
919,"Nobleman","N145"
920,"Norfolk","N614"
921,"Norman","N655"
922,"Northumberland","N635"
923,"Nosferatu","N216"
924,"Nun","N500"
925,"Nurse","N620"
926,"Nym","N500"
927,"Nymph","N510"
928,"Oberon","O165"
929,"Oberon Sentinel","O165"
930,"Oberon's Sentinel","O165"
931,"Octavia","O231"
932,"Octavius Caesar","O231"
933,"Officer","O126"
934,"Officer of the Court","O126"
935,"Officer of the Law","O126"
936,"Old Athenian","O433"
937,"Old Capulet","O432"
938,"Old Ekdal","O432"
939,"Old Gobbo","O432"
940,"Old Lady Capulet","O434"
941,"Old Man","O435"
942,"Old Nedar","O435"
943,"Old Shepherd","O432"
944,"Oliver","O416"
945,"Olivia","O410"
946,"Olivia's Servant","O412"
947,"Ophelia","O140"
948,"Oratiano","O635"
949,"Orchestra","O622"
950,"Ordinance Officer","O635"
951,"Orgon","O625"
952,"Orlando","O645"
953,"Orsino","O625"
954,"Oscar Hubbard","O226"
955,"Osmo","O250"
956,"Osric","O262"
957,"Oswald","O243"
958,"Othello","O340"
959,"Others","O362"
960,"Outlaw","O340"
961,"Page","P200"
962,"Page to Gardiner","P232"
963,"Page to Paris","P231"
964,"Page to the King France","P233"
965,"Pandar","P536"
966,"Pander","P536"
967,"Pandulph","P534"
968,"Panthino","P535"
969,"Paris","P620"
970,"Paris' Page","P621"
971,"Parmigian","P652"
972,"Parolles","P642"
973,"Party Guest","P632"
974,"Pastor","P236"
975,"Pastor Jonah","P236"
976,"Patience","P352"
977,"Patroclus","P362"
978,"Patty","P300"
979,"Paul Brennan","P416"
980,"Paul Verrall","P416"
981,"Paulina","P450"
982,"Peasant Son","P253"
983,"Peaseblossom","P214"
984,"Pedant","P353"
985,"Pegeen Mike","P255"
986,"Pembroke","P516"
987,"Pembroke Banner","P516"
988,"Perdita","P633"
989,"Pericles","P624"
990,"Peter","P360"
991,"Peter Lake","P364"
992,"Peter of Pomfret","P361"
993,"Peter Quince","P362"
994,"Peter Simple","P362"
995,"Peter Sloan","P362"
996,"Peto","P300"
997,"Petruchio","P362"
998,"Phebe","P100"
999,"Philario","P460"
1000,"Phillip","P410"
1001,"Phillips","P412"
1002,"Philo","P400"
1003,"Philostrate","P423"
1004,"Phrynia","P650"
1005,"Pianist","P523"
1006,"Pilgrim","P426"
1007,"Pindarus","P536"
1008,"Pippin","P150"
1009,"Pirate","P630"
1010,"Pisanio","P250"
1011,"Pistol","P234"
1012,"Player","P460"
1013,"Player King","P462"
1014,"Player Queen","P462"
1015,"Plebian","P415"
1016,"Poet","P300"
1017,"Poins","P520"
1018,"Polixenes","P425"
1019,"Polly Peachum","P412"
1020,"Polonius","P452"
1021,"Pompey","P510"
1022,"Pop","P100"
1023,"Pope","P100"
1024,"Popilius","P142"
1025,"Popilius Lena","P142"
1026,"Porky Thompson","P623"
1027,"Porter","P636"
1028,"Portia","P630"
1029,"Post","P230"
1030,"Press","P620"
1031,"Priam","P650"
1032,"Priest","P623"
1033,"Prince Escalus","P652"
1034,"Prince Hal","P652"
1035,"Prince Henry","P652"
1036,"Prince John of Lancaster","P652"
1037,"Prince of Morocco","P652"
1038,"Prince of Verona","P652"
